Date,Close
2019-11-11,8.86
2019-11-08,8.84
2019-11-07,8.77
2019-11-06,8.73
2019-11-05,8.69
2019-11-04,8.68
2019-11-01,8.79
2019-10-31,8.81
2019-10-30,9.1
2019-10-29,9.1
2019-10-28,9.11
2019-10-25,9.2
2019-10-24,9.19
2019-10-23,9.17
2019-10-22,9.03
2019-10-21,9.04
2019-10-18,9.13
2019-10-17,9.13
2019-10-16,9.15
2019-10-15,9.11
2019-10-14,9.12
2019-10-11,9.08
2019-10-10,9.04
2019-10-09,9.02
2019-10-08,9.13
2019-09-30,9.12
2019-09-27,9.15
2019-09-26,9.25
2019-09-25,9.25
2019-09-24,9.3
2019-09-23,9.36
2019-09-20,9.43
2019-09-19,9.43
2019-09-18,9.39
2019-09-17,9.4
2019-09-16,9.34
2019-09-12,9.37
2019-09-11,9.4
2019-09-10,9.47
2019-09-09,9.59
2019-09-06,10.25
2019-09-05,10.34
2019-09-04,10.9
2019-09-03,10.9
2019-09-02,10.81
2019-08-30,11.05
2019-08-29,11.09
2019-08-28,10.97
2019-08-27,10.89
2019-08-26,10.95
2019-08-23,11.0
2019-08-22,10.74
2019-08-21,10.59
2019-08-20,10.74
2019-08-19,10.67
2019-08-16,11.04
2019-08-15,11.15
2019-08-14,11.01
2019-08-13,11.17
2019-08-12,11.0
2019-08-09,11.05
2019-08-08,10.73
2019-08-07,10.62
2019-08-06,10.02
2019-08-05,10.22
2019-08-02,10.31
2019-08-01,10.34
2019-07-31,10.42
2019-07-30,10.44
2019-07-29,10.46
2019-07-26,10.65
2019-07-25,10.9
2019-07-24,10.93
2019-07-23,11.11
2019-07-22,11.35
2019-07-19,11.67
2019-07-18,11.43
2019-07-17,11.28
2019-07-16,11.21
2019-07-15,11.72
2019-07-12,11.64
2019-07-11,11.7
2019-07-10,11.44
2019-07-09,11.49
2019-07-08,11.38
2019-07-05,11.54
2019-07-04,11.43
2019-07-03,11.32
2019-07-02,11.29
2019-07-01,11.25
2019-06-28,11.13
2019-06-27,11.29
2019-06-26,11.46
2019-06-25,11.44
2019-06-24,11.29
2019-06-21,11.05
2019-06-20,10.93
2019-06-19,10.88
2019-06-18,11.11
2019-06-17,11.3
2019-06-14,11.47
2019-06-13,11.53
2019-06-12,11.55
2019-06-11,11.36
2019-06-10,11.59
2019-06-06,11.51
2019-06-05,11.69
2019-06-04,11.63
2019-06-03,11.48
2019-05-31,11.19
2019-05-30,11.39
2019-05-29,11.27
2019-05-28,11.18
2019-05-27,11.56
2019-05-24,11.56
2019-05-23,11.54
2019-05-22,11.4
2019-05-21,11.54
2019-05-20,11.39
2019-05-17,11.28
2019-05-16,11.92
2019-05-15,12.13
2019-05-14,12.33
2019-05-13,12.3
2019-05-10,12.9
2019-05-09,12.95
2019-05-08,12.9
2019-05-07,13.1
2019-05-06,13.18
2019-04-30,14.25
2019-04-29,14.45
2019-04-26,15.1
2019-04-25,14.35
2019-04-24,14.56
2019-04-23,13.93
2019-04-22,13.7
2019-04-19,13.82
2019-04-18,13.38
2019-04-17,13.0
2019-04-16,13.3
2019-04-15,13.3
2019-04-12,13.08
2019-04-11,12.83
2019-04-10,13.09
2019-04-09,13.5
2019-04-08,13.02
2019-04-04,13.13
2019-04-03,13.0
2019-04-02,12.72
2019-04-01,12.75
2019-03-29,13.28
2019-03-28,13.26
2019-03-27,13.54
2019-03-26,13.52
2019-03-25,13.25
2019-03-22,13.66
2019-03-21,13.29
2019-03-20,13.21
2019-03-19,13.3
2019-03-18,13.7
2019-03-15,13.33
2019-03-14,13.25
2019-03-13,13.3
2019-03-12,12.96
2019-03-11,13.08
2019-03-08,13.47
2019-03-07,13.4
2019-03-06,13.55
2019-03-05,14.2
2019-03-04,14.2
2019-03-01,14.23
2019-02-28,14.72
2019-02-27,14.8
2019-02-26,14.44
2019-02-25,14.65
2019-02-22,14.64
2019-02-21,14.2
2019-02-20,14.05
2019-02-19,13.74
2019-02-18,13.65
2019-02-15,14.05
2019-02-14,14.03
2019-02-13,14.05
2019-02-12,14.55
2019-02-11,14.0
2019-02-01,12.92
2019-01-31,12.54
2019-01-30,11.69
2019-01-29,11.72
2019-01-28,11.94
2019-01-25,12.0
2019-01-24,12.46
2019-01-23,12.61
2019-01-22,12.63
2019-01-21,12.28
2019-01-18,12.05
2019-01-17,12.04
2019-01-16,11.95
2019-01-15,11.86
2019-01-14,12.1
2019-01-11,12.05
2019-01-10,12.11
2019-01-09,12.09
2019-01-08,12.03
2019-01-07,12.02
