date,Prediction
2019-01-02,9.362141047788493
2019-01-03,9.349478572784724
2019-01-04,9.30053566031938
2019-01-07,9.230252926535352
2019-01-08,9.21012423282145
2019-01-09,9.198991440618848
2019-01-10,9.204830677616183
2019-01-11,9.15258381865228
2019-01-14,9.074309490099726
2019-01-15,9.079203912095872
2019-01-16,9.098405188638464
2019-01-17,9.057059423312042
2019-01-18,9.03755041070725
2019-01-21,9.0232378753102
2019-01-22,8.97264490245157
2019-01-23,8.900712108274254
2019-01-24,8.87893335416707
2019-01-25,8.866150501571186
2019-01-28,8.870339678175238
2019-01-29,8.816442758818054
2019-01-30,8.736518369872213
2019-01-31,8.739762731475077
2019-02-01,8.757313947624386
2019-02-11,8.714318121904679
2019-02-12,8.693159048906603
2019-02-13,8.677196453116268
2019-02-14,8.624953419864356
2019-02-15,8.551370565293759
2019-02-18,8.527941750793293
2019-02-19,8.513508837804125
2019-02-20,8.516047954014894
2019-02-21,8.460500974264423
2019-02-22,8.378926524925301
2019-02-25,8.38052082613488
2019-02-26,8.396421981890903
2019-02-27,8.351776095777915
2019-02-28,8.328966962386554
2019-03-01,8.311354306202936
2019-03-04,8.257461212557741
2019-03-05,8.182228297593861
2019-03-06,8.15714942270011
2019-03-07,8.141066449317657
2019-03-08,8.14195550513514
2019-03-11,8.084758464991388
2019-03-12,8.001533955258981
2019-03-13,8.001478196075277
2019-03-14,8.015729291438019
2019-03-15,7.969433344931746
2019-03-18,7.944974151147102
2019-03-19,7.925711434570201
2019-03-20,7.870168280531723
2019-03-21,7.793285305174558
2019-03-22,7.766556369887524
2019-03-25,7.748823336111788
2019-03-26,7.748062331535989
2019-03-27,7.689215230998952
2019-03-28,7.604340660873262
2019-03-29,7.6026348412962745
2019-04-01,7.615235876265731
2019-04-02,7.567289869366175
2019-04-03,7.541180615188249
2019-04-04,7.520267838218063
2019-04-08,7.463074623786301
2019-04-09,7.384541588035852
2019-04-10,7.356162592355534
2019-04-11,7.336779498186515
2019-04-12,7.334368433217432
2019-04-15,7.2738712722871135
2019-04-16,7.187346641768139
2019-04-17,7.183990761797868
2019-04-18,7.194941736374043
2019-04-19,7.145345669081202
2019-04-22,7.117586354509992
2019-04-23,7.095023517146523
2019-04-24,7.0361802423214765
2019-04-25,6.955997146177745
2019-04-26,6.925968090104145
2019-04-29,6.904934935541841
2019-04-30,6.900873810179476
2019-05-06,6.838726588855873
2019-05-07,6.750551897943615
2019-05-08,6.7455459575800605
2019-05-09,6.75484687176295
2019-05-10,6.703600744076827
2019-05-13,6.674191369112332
2019-05-14,6.64997847135558
2019-05-15,6.5894851361372515
2019-05-16,6.507651979600236
2019-05-17,6.475972863133351
2019-05-20,6.453289648177765
2019-05-21,6.447578462422115
2019-05-22,6.383781180705228
2019-05-23,6.293956429399687
2019-05-24,6.287300428642849
2019-05-27,6.294951282432455
2019-05-28,6.242055094353049
2019-05-29,6.210995658995271
2019-05-30,6.1851327008452355
2019-05-31,6.122989305233622
2019-06-03,6.039506088303322
2019-06-04,6.006176911443154
2019-06-05,5.981843636094284
2019-06-06,5.974482389945351
2019-06-10,5.909035047835181
2019-06-11,5.817560236136357
2019-06-12,5.8092541749862345
2019-06-13,5.8152549683825585
2019-06-14,5.760708719909867
2019-06-17,5.727999224158807
2019-06-18,5.700486205615488
2019-06-19,5.6366927496105905
2019-06-20,5.551559472287008
2019-06-21,5.516580235033557
2019-06-24,5.490596899291403
2019-06-25,5.481585592749187
2019-06-26,5.414488190245733
2019-06-27,5.321363318153625
2019-06-28,5.31140719661022
2019-07-01,5.315757929613259
2019-07-02,5.259561620747285
2019-07-03,5.22520206460294
2019-07-04,5.196038985666338
2019-07-05,5.130595469268158
2019-07-08,5.043812131551292
2019-07-09,5.007182833904556
2019-07-10,4.979549437769119
2019-07-11,4.968888070833619
2019-07-12,4.900140607936881
2019-07-15,4.8053656754514895
2019-07-16,4.793759493514801
2019-07-17,4.796460166124558
2019-07-18,4.7386137968653
2019-07-19,4.702604180327672
2019-07-22,4.671791040997785
2019-07-23,4.604697464206321
2019-07-24,4.516264066096171
2019-07-25,4.477984708056153
2019-07-26,4.4487012515274325
2019-07-29,4.436389824198648
2019-07-30,4.365992300908628
2019-07-31,4.269567308029953
2019-08-01,4.256311065699981
2019-08-02,4.257361677916453
2019-08-05,4.197865248263911
2019-08-06,4.160205571333
2019-08-07,4.1277423716098305
2019-08-08,4.058998734425082
2019-08-09,3.96891527592165
2019-08-12,3.928985857488348
2019-08-13,3.898052340566344
2019-08-14,3.8840908528442766
2019-08-15,3.8120432691609722
2019-08-16,3.7139682158890137
2019-08-19,3.6990619131657576
2019-08-20,3.698462464988946
2019-08-21,3.637315974943121
2019-08-22,3.598006237618926
2019-08-23,3.563892977502473
2019-08-26,3.4934992799244418
2019-08-27,3.401765761027725
2019-08-28,3.360186282201139
2019-08-29,3.3276027048858516
2019-08-30,3.3119911567705005
2019-09-02,3.2382935126939127
2019-09-03,3.1385683990286704
2019-09-04,3.122012035912131
