[201,52,65,181,248,257,137,7,115,54]
[133,277,176,175,152,161,235,87,53,242]
[161,133,235,87,53,152,277,71,175,285]
[161,35,235,285,87,152,133,53,49,246]
[285,35,161,133,235,49,265,22,298,297]
[285,35,298,22,49,235,108,265,161,133]
[285,298,108,35,22,241,49,133,210,235]
[285,108,133,241,210,22,35,82,298,235]
[285,108,133,241,210,82,235,283,49,35]
[108,285,82,133,241,49,210,283,235,22]
[108,82,133,235,285,283,241,49,158,194]
[108,82,235,49,194,133,241,158,65,285]
[82,108,235,49,65,298,194,241,158,100]
[82,65,235,108,298,49,228,241,246,158]
[82,65,246,228,298,235,195,108,49,188]
[82,246,195,228,298,65,235,108,278,262]
[82,246,195,228,298,175,278,1,65,57]
[246,82,228,195,260,1,175,57,278,241]
[246,260,1,175,228,195,57,82,294,176]
[246,294,175,1,195,260,177,176,57,228]
