,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600083,博信股份,84.28,25.88,7.0378,32.1465,0.1397,124.1755,0.5398
1,600319,ST亚星,25.79,2.44,12.3502,12.7191,0.0403,521.0562,1.651
2,002234,民和股份,25.61,52.74,58.7475,385.7934,1.2772,731.4864,2.4217
3,002458,益生股份,19.96,58.62,61.9964,381.9419,1.1320000000000001,651.4869,1.931
4,300776,帝尔激光,18.97,45.25,54.8513,74.8605,1.5096,165.4311,3.3360000000000003
5,688016,心脉医疗,18.71,48.48,,44.6649,,92.1156,
6,300783,三只松鼠,18.31,8.69,33.1575,249.293,0.6924,2867.6723,7.9657
7,603508,思维列控,16.28,174.81,65.3101,696.6521,3.5773,398.5091,2.0463
8,002893,华通热力,15.59,20.01,30.834,112.7157,0.9165,563.107,4.5788
9,600368,五洲交通,15.53,127.39,54.0409,656.8736,0.5835,515.6194,0.45799999999999996
10,000720,新能泰山,14.73,28.67,43.7262,374.3646,0.2902,1305.7007,1.0124
11,600587,新华医疗,14.53,27.72,21.8383,561.9953,1.3827,2026.7327,4.9866
12,300461,田中精机,12.72,13.13,44.1966,35.9375,0.2884,273.6217,2.1959999999999997
13,300221,银禧科技,12.58,45.75,12.5632,192.1901,0.3809,420.0297,0.8324
14,600626,申达股份,12.55,12.52,9.1829,466.1629,0.5469,3721.6502,4.3666
15,601888,中国国旅,12.46,16.84,49.4493,2305.7581,1.1809,13691.598999999998,7.0124
16,600310,桂东电力,12.37,8.09,5.1791,269.2152,0.3252,3327.3623,4.0196
17,600809,山西汾酒,12.35,21.62,71.9442,877.4102,1.0133,4057.6086,4.6862
18,300508,维宏股份,12.0,132.19,62.4652,64.1424,0.7055,48.5225,0.5337
19,600167,联美控股,11.36,55.41,61.76,779.9054,0.4431,1407.2869,0.7995
20,300152,科融环境,11.11,113.38,19.6073,87.8136,0.1231,77.447,0.1086
21,600570,恒生电子,11.06,67.18,96.7894,397.845,0.6439,592.1863,0.9585
22,600793,宜宾纸业,11.03,16.49,1.2601,39.7131,0.3771,240.7023,2.2858
23,002959,小熊电器,10.87,8.9,34.2924,56.114,0.6234,630.3968,7.0044
24,300771,智莱科技,10.84,25.19,43.2199,76.6277,1.0217,304.1586,4.0554
25,000517,荣安地产,10.78,31.42,42.2137,586.238,0.1841,1865.8048,0.586
26,300122,智飞生物,10.72,21.89,39.876,502.0661,0.3137,2293.5370000000003,1.4334
27,002304,洋河股份,10.62,36.92,72.2906,4020.765,2.668,10889.6336,7.226
28,600779,水井坊,10.53,23.5,82.5836,218.55900000000003,0.4473,929.7857,1.9031
29,600647,同达创业,10.53,3197.39,67.137,31.6559,0.2275,0.9901,0.0071
30,000848,承德露露,10.35,23.85,53.3846,222.1093,0.2269,930.893,0.9512
31,688388,嘉元科技,10.28,24.07,36.3039,80.62,0.4658,334.9212,1.9351
32,688199,久日新材,10.16,22.96,42.2722,94.3275,1.1307,410.7488,4.9238
33,300571,平治信息,10.0,35.68,62.6198,58.2897,0.4842,163.357,1.3571
34,600507,方大特钢,9.84,11.94,26.0663,470.3621,0.3244,3936.179,2.7148
35,000048,康达尔,9.83,15.4,41.303999999999995,110.8831,0.2837,719.9302,1.8423
36,603327,福蓉科技,9.73,23.45,38.5092,67.6152,0.1931,288.2724,0.8236
37,000999,华润三九,9.72,33.5,62.8473,1166.8439,1.1919,3482.2726,3.5573
38,603288,海天味业,9.62,26.9,45.7772,1477.1382,0.547,5490.1453,2.0331
39,603369,今世缘,9.52,32.82,74.6488,641.3952,0.5112,1953.9899,1.5575
40,002803,吉宏股份,9.52,10.84,41.8608,72.8143,0.3692,671.4794,3.405
41,600053,九鼎投资,9.42,74.71,100.0,222.517,0.5132,297.8146,0.6869
42,000672,上峰水泥,9.41,31.49,47.4688,358.9405,0.4411,1139.8552,1.4009
43,300770,新媒股份,9.35,39.45,56.3889,73.4457,0.7629,186.1573,1.9337
44,000596,古井贡酒,9.34,21.35,78.2133,783.3899,1.5555,3668.5025,7.2845
45,000850,华茂股份,9.3,66.14,9.4946,423.4047,0.4486,640.1379,0.6783
46,300146,汤臣倍健,9.28,31.66,67.2239,497.464,0.3386,1571.0710000000001,1.0696
47,002755,奥赛康,9.25,16.88,92.9654,188.0233,0.2025,1113.5356,1.1997
48,000858,五粮液,9.25,36.81,75.7827,6475.1133,1.6681,17590.2532,4.5316
49,000046,泛海控股,9.2,299.31,38.0062,2084.7937,0.4012,696.5231,0.134
