,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600083,博信股份,80.0,15.45,7.0418,23.9785,0.1042,155.1948,0.6747
1,000526,紫光学大,54.19,5.57,31.9815,94.2102,0.9793,1689.9526,17.5679
2,600768,宁波富邦,51.28,39.6,3.5518,121.7081,0.9099,307.27099999999996,2.2974
3,002234,民和股份,43.53,55.58,60.1898,868.8401,2.8765,1562.9997,5.1746
4,002458,益生股份,36.94,62.47,65.1303,903.5147,1.5739,1446.2913,2.5195
5,600319,ST亚星,36.25,2.16,12.5887,20.785,0.0658,960.8729,3.0446
6,600052,浙江广厦,32.9,2022.46,67.1759,1169.2789,1.3412,57.8145,0.0663
7,688016,心脉医疗,30.43,49.44,79.4349,85.0133,1.5749,171.9451,3.1854
8,688188,柏楚电子,28.96,67.69,81.3557,118.2966,1.5772,174.7576,2.3301
9,603489,八方股份,27.93,27.13,41.5842,163.3294,1.8147,601.8473,6.6871
10,300122,智飞生物,25.33,22.76,41.1694,1146.9698,0.7168,5038.6778,3.1491
11,300571,平治信息,25.29,13.47,30.9267,136.9123,1.1364,1016.1010000000001,8.4338
12,300198,纳川股份,24.64,105.28,22.6796,380.2991,0.3686,361.2,0.3501
13,002607,中公教育,23.98,13.55,57.5169,493.0255,0.0799,3637.4195,0.5897
14,600132,重庆啤酒,23.95,13.02,40.6885,238.7295,0.4932,1832.746,3.7868
15,000672,上峰水泥,23.68,32.89,48.8633,950.0704,1.1677,2888.3437,3.5499
16,002190,*ST集成,23.67,47.67,13.0,557.4831,1.554,1169.3366,3.2596
17,002959,小熊电器,21.74,10.74,36.0047,127.7504,,1188.4189999999999,
18,300117,嘉寓股份,20.92,23.6,16.8629,361.3477,0.5041,1530.7699,2.1356
19,688388,嘉元科技,20.88,23.71,36.0847,180.6619,1.0438,761.9416,4.4023
20,600779,水井坊,20.72,20.09,82.2112,339.5882,0.6951,1689.8496,3.4589
21,688029,南微医学,20.55,24.31,65.8575,150.1803,1.5018,617.6694,6.1766
22,603160,汇顶科技,20.37,35.22,61.7248,1016.8406,2.2261,2886.7153,6.3197
23,002299,圣农发展,20.36,25.21,31.6953,1652.9241,1.3335,6554.1366,5.2878
24,688199,久日新材,20.33,22.97,41.1275,181.2341,2.1725,788.9228,9.4572
25,603288,海天味业,19.67,27.06,44.8579,2750.172,1.0184,10159.9644,3.7624
26,300783,三只松鼠,19.33,5.9,30.8566,266.4586,0.7401,4511.4079,12.5316
27,300800,力合科技,19.0,33.41,53.0096,121.3196,2.0219,363.097,6.0516
28,002016,世荣兆业,18.96,37.74,72.2591,535.3419,0.6616,1418.4270000000001,1.7531
29,603755,日辰股份,18.86,29.1,50.3352,35.8241,0.4844,123.0685,1.6641
30,600570,恒生电子,18.41,44.51,97.9426,678.3422,0.8446,1523.9621,1.8974
31,300417,南华仪器,18.37,36.0,62.9488,75.6757,0.9273,210.1814,2.5757
32,600802,福建水泥,18.32,16.02,29.6511,210.7383,0.5518,1314.6988,3.4427
33,002011,盾安环境,18.23,10.61,16.7173,497.744,0.5426,4688.1592,5.1113
34,300236,上海新阳,18.18,99.89,31.6003,276.8662,1.4288,277.1526,1.4303
35,600340,华夏幸福,18.08,21.89,48.7283,8480.8261,2.8245,38730.1128,12.8988
36,002755,奥赛康,18.07,16.6,92.7987,382.1477,0.4117,2301.144,2.4792
37,688036,传音控股,18.05,7.78,29.1586,817.8999,1.1359,10504.1688,14.5891
38,600507,方大特钢,18.03,12.78,26.3056,1055.2159,0.7277,8253.0252,5.6922
39,600368,五洲交通,17.85,72.48,48.0999,748.6105,0.665,1032.7252,0.9174
40,600809,山西汾酒,17.75,18.66,71.4564,1190.1002,1.3655,6377.148,7.3172
41,601888,中国国旅,17.74,13.47,51.0494,3279.2332,1.6795,24344.2831,12.4684
42,002963,豪尔赛,17.68,22.69,41.4276,134.0166,1.1884,590.5892,5.2371
43,600566,济川药业,17.65,24.66,85.1204,963.6464,1.1825,3906.9293,4.7942
44,000895,双汇发展,17.57,9.36,19.5,2381.6265,0.7218,25433.5942,7.7081
45,600587,新华医疗,17.42,16.61,21.7322,693.29,1.7058,4171.9324,10.2648
46,600801,华新水泥,17.42,21.98,41.7546,3162.5236,1.5084,14387.1691,6.8621
47,600519,贵州茅台,17.38,50.52,91.8668,19951.0256,15.882,39487.7883,31.4343
48,002379,宏创控股,17.31,17.84,22.1802,263.8294,0.2847,1478.7796,1.5962
49,603444,吉比特,17.21,43.47,91.1017,465.4767,6.4755,1070.7095,14.8953
50,600031,三一重工,17.05,15.55,32.3573,6748.013000000001,0.8057,43386.44,5.1804
51,603508,思维列控,16.99,128.08,62.724,723.3532,3.7144,564.7243,2.8999
52,688018,乐鑫科技,16.93,19.68,47.5785,63.6441,1.0607,323.2895,5.3881
53,002555,三七互娱,16.75,17.01,86.1803,1033.0744,0.489,6070.9575,2.8741
54,603658,安图生物,16.74,27.15,65.3464,320.2514,0.7625,1179.364,2.8080000000000003
55,600398,海澜之家,16.66,19.82,41.6745,2125.2372,0.4808,10721.25,2.4256
56,300529,健帆生物,16.48,46.4,85.6525,305.7616,0.73,658.8478,1.5731
57,688006,杭可科技,16.4,28.43,48.105,179.0361,0.4973,629.6961,1.7491
58,000333,美的集团,16.4,9.87,29.4784,15187.069,2.1877,153770.3,22.1516
59,300003,乐普医疗,16.35,29.46,73.3123,1155.3767,0.6484,3921.0233,2.2007
60,300628,亿联网络,16.19,51.66,65.189,606.7507,2.0256,1174.4595,3.9209
61,600678,四川金顶,16.11,8.54,23.9346,13.9302,0.0399,162.9502,0.4669
62,002304,洋河股份,16.08,34.88,70.9468,5581.7057,3.7038,15998.5829,10.6162
63,300577,开润股份,16.02,9.32,28.131999999999998,113.8669,0.5232,1221.2131,5.6118
64,300638,广和通,15.89,9.38,27.1001,80.5816,0.6649,859.0517,7.0885
65,603369,今世缘,15.87,35.1,71.9596,1072.2992,0.8547,3054.8058,2.435
66,603610,麒盛科技,15.85,14.04,38.7536,160.2611,1.4213,1141.3849,10.1231
67,300792,壹网壹创,15.81,12.43,39.0344,69.5447,1.159,559.2188,9.3203
68,603638,艾迪精密,15.76,24.44,43.175,181.676,0.4712,743.1136,1.9276
69,603983,丸美股份,15.71,31.45,68.4215,256.3476,0.7120000000000001,814.8574,2.2634
70,000568,泸州老窖,15.69,34.31,79.7025,2749.781,1.8773,8013.035,5.4705
71,601318,中国平安,15.61,15.28,18.2108,97676.0,5.3432,639155.0,34.9642
72,000596,古井贡酒,15.42,20.84,76.7179,1248.3163,2.4787,5988.113,11.8906
73,601360,三六零,15.06,68.4,66.2932,4052.4970000000003,0.5991,5924.501,0.8758
74,600136,当代明诚,15.05,62.96,32.9341,627.881,1.2888,997.2027,2.0468
75,300146,汤臣倍健,15.04,29.18,68.0103,866.8514,0.5901,2969.7749,2.0219
76,300702,天宇股份,14.99,25.97,52.0448,254.0681,1.3941,978.2114,5.3677
77,002746,仙坛股份,14.93,25.94,27.8331,402.6897,0.8684,1552.1897,3.3474
78,600887,伊利股份,14.87,8.4,38.5755,3780.5315,0.62,44965.1342,7.3748
79,000651,格力电器,14.87,14.13,31.023000000000003,13750.1941,2.2857,97296.9643,16.1737
80,002035,华帝股份,14.87,13.48,49.9201,395.1564,0.4482,2930.4927,3.3239
81,600309,万华化学,14.81,17.82,31.4222,5621.1026,1.7903,31538.9978,10.045
82,603868,飞科电器,14.76,19.52,38.5956,336.7394,0.773,1724.8948,3.9598
83,000720,新能泰山,14.76,19.12,32.7318,368.2903,0.2855,1925.8414,1.4933
84,300418,昆仑万维,14.69,33.35,78.952,588.2328,0.5106,1763.6412,1.531
85,300564,筑博设计,14.65,14.95,34.2839,66.4335,,444.3673,
86,000789,万年青,14.65,13.64,31.9261,603.2627,0.7565,4420.6778,5.544
87,002677,浙江美大,14.62,25.88,53.4698,182.3009,0.2821,704.3546,1.0902
88,000848,承德露露,14.62,20.86,52.8743,262.2734,0.268,1256.9272,1.2844
