,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600129,太极集团,58.41,16.26,29.746,930.1089,2.1787,5717.991999999999,13.3944
1,002841,视源股份,54.21,9.81,20.9012,594.6423,1.6381,6057.7241,16.6879
2,603444,吉比特,51.32,50.14,96.2847,461.54400000000004,8.6479,920.4017,17.2455
3,002027,分众传媒,47.22,41.72,70.0916,3147.0478,0.3602,7542.1519,0.8632
4,600338,西藏珠峰,43.07,42.18,67.5956,449.1385,0.6878,1064.6014,1.6303
5,600213,亚星客车,39.3,2.44,12.751,43.3822,0.1971,1772.9959,8.059
6,002928,华夏航空,37.59,15.36,29.7203,295.2944,,1921.616,
7,300498,温氏股份,36.89,24.83,30.77,10837.0968,2.4911,43644.4498,10.0325
8,000150,宜华健康,36.84,111.07,36.4852,966.8048,2.1589,870.3745,1.9436
9,603160,汇顶科技,35.96,28.39,47.5799,602.259,1.5056,2121.2124,5.303
10,002458,益生股份,35.7,39.6,48.0038,504.8224,1.5136,1274.6135,3.8217
11,603379,三美股份,35.1,12.9,35.0681,244.6252,,1895.3875,
12,300590,移为通信,35.03,32.93,61.0659,57.6884,0.9614,175.1782,2.9196
13,002714,牧原股份,34.53,45.17,49.4079,1761.9327,1.7044,3900.1552,3.7728
14,603579,荣泰健康,34.06,16.38,37.6992,139.9197,2.6651,853.7330000000001,16.2615
15,002833,弘亚数控,32.81,30.64,40.1539,120.0699,1.2006,391.7639,3.9176
16,603871,嘉友国际,32.4,19.11,29.3784,106.2855,1.7714,555.9957,9.2665
17,603258,电魂网络,32.19,52.67,93.0727,197.7349,1.0985,375.3757,2.0854
18,603816,顾家家居,31.74,12.91,41.7918,419.6315,1.2716,3248.2749,9.8432
19,600730,中国高科,31.31,54.61,3.0835,637.3667,1.0864,1166.9481,1.9891
20,300595,欧普康视,30.59,51.51,77.3933,87.0475,1.7068,168.9675,3.313
21,300577,开润股份,29.49,11.54,28.1562,64.1403,1.2828,555.5705,11.1114
22,300033,同花顺,29.46,60.41,90.5805,722.2782,1.3435,1195.4669,2.2237
23,600816,安信信托,28.86,65.74,83.963,2310.6820000000002,1.3055,3514.5537,1.9857
24,603886,元祖股份,28.65,11.12,64.0318,147.9302,0.8218,1329.4859,7.386
25,002072,*ST凯瑞,28.62,294.18,16.0748,32.6886,0.1857,11.1116,0.0631
26,603203,快克股份,28.28,32.81,56.0993,68.8774,0.9982,209.8896,3.0418
27,002466,天齐锂业,27.73,43.44,71.3393,1203.4938,1.2102,2770.1479999999997,2.7856
28,603890,春秋电子,27.68,10.03,20.3772,107.9627,,1075.5162,
29,000820,*ST节能,27.5,34.44,58.6036,150.3751,0.5224,436.5908,1.5168
30,600718,东软集团,25.91,41.47,33.5998,2044.4979999999998,1.6440000000000001,4929.0656,3.9636
31,600398,海澜之家,25.85,20.0,39.913000000000004,2414.4239,0.5374,12067.3489,2.6859
32,300558,贝达药业,25.69,39.16,97.0074,308.3523,0.8565,787.3597,2.1871
33,000895,双汇发展,25.09,8.54,18.2217,3277.0676,0.9931,38352.9522,11.6236
34,002124,天邦股份,24.87,19.04,33.5382,341.5017,0.5363,1792.6996,2.8157
35,000813,德展健康,24.45,49.26,84.0587,519.9648,1.1122,1055.3977,2.2575
36,603228,景旺电子,24.4,17.06,31.8899,409.6562,1.1379,2399.9055,6.6664
37,300571,平治信息,23.85,12.04,25.2322,35.5513,1.185,295.2382,9.8412
38,603868,飞科电器,23.12,18.04,38.5035,420.1564,0.9645,2328.214,5.3448
39,603626,科森科技,23.06,13.86,31.228,125.1022,0.7917,902.3758,5.7112
40,002323,*ST百特,22.96,19.2,31.3424,173.6478,0.2328,904.0123,1.2122
41,603929,亚翔集成,22.87,8.5,13.9539,151.9349,0.9495,1787.1962,11.1699
42,002157,正邦科技,22.71,6.52,15.6044,906.1184,0.4498,13887.7031,6.8939
43,300615,欣天科技,22.6,25.46,48.9282,44.4453,0.7407,174.5438,2.909
44,002415,海康威视,22.57,22.94,41.55,4849.9575,0.7946,21136.468999999997,3.4632
45,000651,格力电器,22.57,13.62,34.1203,11229.0593,1.8666,82428.7114,13.7021
46,600100,同方股份,22.47,29.73,17.7194,5097.5444,1.7198,17141.8739,5.7835
47,300561,汇金科技,22.32,40.26,75.0514,59.4715,1.4159,147.6891,3.5164
48,603288,海天味业,22.19,22.76,44.3128,2039.4619,0.7539,8960.3357,3.3125
49,002234,民和股份,22.18,23.83,34.9041,249.9642,0.8275,1048.6924,3.4719
50,002847,盐津铺子,22.07,12.63,49.5009,62.0377,0.667,490.9063,5.2785
51,000333,美的集团,21.93,11.0,27.9694,12807.993,1.9855,116378.41699999999,18.0416
52,300578,会畅通讯,21.89,14.42,49.1511,27.8121,0.515,192.8235,3.5708
53,002827,高争民爆,21.81,29.84,53.7693,80.7153,0.5848,270.4285,1.9596
54,603060,国检集团,21.8,18.72,49.6508,85.0079,0.5151,454.0079,2.7515
55,600826,兰生股份,21.66,46.53,5.8954,838.2485,1.9927,1801.335,4.2823
56,002831,裕同科技,21.61,15.33,33.4924,551.0124,3.6734,3592.2673,23.9484
57,002460,赣锋锂业,21.41,24.01,36.0807,485.8038,0.6454,2022.588,2.6871
58,002709,天赐材料,21.25,23.53,41.1459,316.6627,0.9732,1345.6846,4.1359
59,600052,浙江广厦,20.91,98.49,27.2845,443.5504,0.5087,450.3052,0.5165
60,002504,弘高创意,20.88,7.66,19.4506,224.6802,0.21899999999999997,2931.6268,2.8578
61,002294,信立泰,20.78,36.74,74.3466,1039.5783,0.9938,2829.2914,2.7048
62,300568,星源材质,20.77,32.31,60.7906,123.5573,1.3728,382.3653,4.2485
63,300072,三聚环保,20.74,11.8,22.1683,1215.4588,1.0174,10293.3666,8.6169
64,300253,卫宁健康,20.72,78.54,54.6204,458.9652,0.5602,584.3333,0.7132
65,600647,同达创业,20.71,203.33,22.3263,74.6626,0.5365,36.7196,0.2638
66,603639,海利尔,20.68,16.0,35.7939,138.2692,1.5363,864.0128,9.6001
67,002701,奥瑞金,20.65,18.19,36.1444,1022.9241,0.4343,5623.2251,2.3875
68,002143,印纪退,20.57,23.67,38.4632,396.0409,0.358,1673.0992,1.5125
69,300594,朗进科技,20.42,15.22,42.0248,31.3544,,205.9875,
70,600211,西藏药业,20.35,23.97,78.7064,118.0102,0.8105,492.2616,3.3811
71,002366,台海核电,20.31,44.3,69.135,353.73199999999997,0.8159,798.4859,1.8418
72,600887,伊利股份,20.29,9.55,38.7654,4389.9432,0.7238,45922.9425,7.572
73,002074,国轩高科,20.27,21.54,48.1161,737.5062,0.8415,3422.7765,3.9057
74,600132,重庆啤酒,20.14,9.8,40.9579,263.5665,0.5445,2688.4901,5.555
75,603517,绝味食品,20.08,11.24,31.121,272.7695,0.7576,2426.5756,6.7404
76,300136,信维通信,20.06,23.01,34.0283,346.4012,0.3605,1504.8103,1.5661
77,600340,华夏幸福,19.97,18.06,45.8196,4603.3575,1.5578,25485.5313,8.6247
78,600566,济川药业,19.89,19.28,85.2767,676.1737,0.8351,3506.4759999999997,4.3309
79,300156,神雾环保,19.87,20.96,31.8649,450.6894,0.4462,2150.0055,2.1286
80,603168,莎普爱思,19.83,28.47,77.21,207.3059,1.2688,728.0268,4.4561
81,000625,长安汽车,19.82,14.43,17.1801,7739.3483,1.6597,53606.9961,11.4965
82,600961,株冶集团,19.72,0.35,5.7865,31.6265,0.0599,9031.309000000001,17.1223
83,600644,乐山电力,19.6,17.59,29.4135,246.3465,0.4575,1400.2727,2.6008
84,000952,广济药业,19.59,22.51,47.943000000000005,124.8077,0.4958,554.3868,2.2025
85,300121,阳谷华泰,19.55,13.37,29.2719,119.8154,0.4142,896.0039999999999,3.0980000000000003
86,603585,苏利股份,19.52,13.01,33.5552,130.4068,1.7387,1001.9334,13.3591
87,002508,老板电器,19.43,17.59,58.9593,701.3144,0.9606,3985.4659,5.4591
88,300737,科顺股份,19.42,21.75,51.9244,239.4416,0.5522,1100.4838,2.5380000000000003
89,300569,天能重工,19.31,20.07,36.0847,152.6381,2.4422,760.3731,12.1659
90,002304,洋河股份,19.3,32.99,60.8933,4839.1584,3.2111,14667.0794,9.7327
91,600053,九鼎投资,19.28,26.92,78.0383,274.3857,0.6328,1019.1024,2.3506
92,000848,承德露露,19.26,18.43,44.5008,364.0037,0.3719,1974.9474,2.0182
93,600066,宇通客车,19.26,10.5,25.6987,2276.3386,1.0281,21659.1583,9.783
94,000036,华联控股,19.0,327.23,46.2498,475.9517,0.4169,145.4465,0.1274
95,603556,海兴电力,18.97,25.75,46.6546,362.0655,1.2930000000000001,1405.889,5.021
96,300450,先导智能,18.97,25.81,42.2031,153.0223,0.375,592.8675,1.4531
97,600507,方大特钢,18.91,7.67,19.9242,462.9238,0.349,6035.1715,4.551
98,300484,蓝海华腾,18.91,24.52,44.0855,105.9631,1.0188,432.0231,4.154
99,000018,*ST神城,18.81,9.37,24.1471,303.166,0.1785,3233.5972,1.9040000000000001
100,603528,多伦科技,18.81,38.92,63.00899999999999,244.5715,1.1833,628.3852,3.0403
101,600236,桂冠电力,18.79,34.56,60.0926,2451.1704,0.4042,7091.0,1.1694
102,002108,沧州明珠,18.61,19.41,33.7084,387.2016,0.626,1994.3807,3.2247
103,000921,海信家电,18.6,4.22,23.7384,863.3741,0.6335,20430.3192,14.9922
104,000957,中通客车,18.56,7.81,20.9987,455.2402,0.7678,5826.0035,9.8262
105,600487,亨通光电,18.48,7.78,22.4856,1047.7213,0.8440000000000001,13453.6426,10.8386
106,600309,万华化学,18.33,11.94,30.1137,2500.2528,1.1562,20932.1819,9.6803
107,300570,太辰光,18.27,24.01,35.9872,75.7724,0.7906,315.5507,3.2927
108,600519,贵州茅台,18.16,46.8,91.6439,12465.5778,9.9232,26631.884,21.2003
109,603429,集友股份,18.16,26.29,51.354,33.3115,0.6531,126.6925,2.4841
110,002821,凯莱英,18.12,24.0,53.8025,188.6279,2.0958,785.8039,8.7311
111,600688,上海石化,17.99,7.56,29.4109,4130.061,0.3824,54584.662000000004,5.0541
112,002555,三七互娱,17.88,20.5,61.6091,752.1784,0.3607,3667.5577,1.7591
113,002172,澳洋健康,17.84,5.77,14.0446,200.7238,0.2888,3475.5684,5.0017
114,300015,爱尔眼科,17.74,15.19,47.3477,468.4532,0.4639,3082.7672,3.0528
115,002372,伟星新材,17.68,20.69,47.5863,443.9597,0.5723,2145.1745,2.7654
116,002032,苏泊尔,17.66,8.4,30.0733,742.1401,1.1747,8831.5899,13.9792
117,000856,冀东装备,17.56,7.59,8.4257,57.4199,0.2529,755.7777,3.3294
118,300612,宣亚国际,17.5,9.42,44.5605,27.676,0.5125,293.5144,5.4354
119,601877,正泰电器,17.35,14.08,33.5047,1283.0253,0.9723,9108.5942,6.9033
120,000890,法尔胜,17.25,8.66,14.9793,135.9097,0.3579,1568.2922,4.1309
121,603358,华达科技,17.17,10.84,24.2982,200.8776,1.6739,1852.1557,15.4346
122,300600,瑞特股份,17.14,29.41,55.7271,85.9286,1.1457,292.1247,3.8949
123,603589,口子窖,17.08,30.5,72.604,712.3957,1.1873,2334.9654,3.8916
124,000963,华东医药,17.0,6.31,25.2305,1195.3118,2.4591,18919.9497,38.9252
125,603899,晨光文具,16.94,11.44,26.9308,395.2811,0.4296,3452.3505,3.7525
126,300113,顺网科技,16.9,33.0,79.9234,395.9811,0.5768,1199.7266,1.7475
127,603337,杰克股份,16.85,11.22,30.9218,159.8414,1.0312,1424.5886,9.1908
128,300567,精测电子,16.84,14.68,50.5814,50.0453,0.8340000000000001,340.8198,5.6803
129,603032,德新交运,16.79,21.17,34.2141,42.4654,0.4246,200.5277,2.0052
130,600366,宁波韵升,16.78,68.78,25.3339,776.0311,1.392,1128.1662,2.0236
131,002595,豪迈科技,16.77,29.83,43.8086,565.7499,0.7071,1896.3457,2.3704
132,603360,百傲化学,16.75,24.69,49.3406,72.6008,0.726,293.9771,2.9397
133,600612,老凤祥,16.71,2.81,8.3546,803.2765,1.5355,28562.0487,54.5996
134,603866,桃李面包,16.7,13.67,36.2569,325.1357,0.7223,2377.1943,5.2811
135,002832,比音勒芬,16.64,17.36,62.6858,105.2159,1.3151,605.9176,7.5739
136,002242,九阳股份,16.59,10.84,32.6285,546.1637,0.7115,5034.2897,6.5586
137,603885,吉祥航空,16.55,16.28,26.2545,1264.5427,0.9851,7764.698,6.0492
138,300221,银禧科技,16.5,14.76,19.1677,148.2625,0.3685,1003.8728,2.4955
139,600276,恒瑞医药,16.45,23.33,86.8464,1928.5917,0.8214,8264.0731,3.5199
140,603658,安图生物,16.44,36.81,72.4649,254.83,0.6067,692.2782,1.6482
141,300446,乐凯新材,16.43,40.62,62.9095,76.566,0.6235,188.4849,1.5348
142,601633,长城汽车,16.42,11.37,25.0122,7208.5829,0.7897,63344.6771,6.9401
143,300043,星辉娱乐,16.39,22.63,35.2128,371.1061,0.2982,1639.5819,1.3177
144,603656,泰禾光电,16.37,21.26,51.3347,59.1467,1.0382,278.1075,4.8816
145,600975,新五丰,16.33,17.44,22.0671,205.5911,0.3149,1178.6795,1.8059
146,600240,*ST华业,16.31,23.63,19.8693,867.056,0.6087,3668.6524,2.5758
147,300357,我武生物,16.3,43.01,95.9567,102.5792,0.6347,238.4663,1.4756
148,600285,羚锐制药,16.29,32.27,67.6375,337.7903,0.5702,1046.7326,1.7671
149,300497,富祥股份,16.26,23.46,42.8814,131.6986,1.1754,561.309,5.01
150,300432,富临精工,16.23,19.81,33.9492,160.933,0.447,812.1222,2.2558
151,002820,桂发祥,16.16,21.39,51.8712,77.4075,0.8063,361.72900000000004,3.7680000000000002
152,300360,炬华科技,16.1,21.98,36.0393,198.8012,0.5481,904.1849,2.4930000000000003
153,603708,家家悦,16.08,2.2,21.4528,178.3711,0.6606,8103.1975,30.0118
154,300585,奥联电子,16.05,16.78,41.0251,36.8563,0.6142,219.6236,3.6603
155,002071,长城影视,16.04,12.67,32.6226,110.4376,0.2101,871.6114,1.6588
156,300418,昆仑万维,16.0,26.72,52.55,492.88599999999997,0.4372,1844.5144,1.6364
157,002019,亿帆医药,16.0,20.09,48.4046,536.5938,0.4874,2669.7294,2.4252
158,300408,三环集团,15.95,35.96,47.7277,769.1738,0.4452,2138.724,1.2379
159,600452,涪陵电力,15.92,11.45,12.8949,129.4747,0.8092,1130.3064,7.0644
160,002818,富森美,15.91,46.85,70.7773,432.0266,1.0909,922.0349,2.3283
161,000423,东阿阿胶,15.9,30.76,66.7797,1225.9321,1.8744,3984.6729,6.0925
162,600593,大连圣亚,15.83,25.77,62.4858,69.2377,0.7525,268.6698,2.9203
163,300252,金信诺,15.71,10.46,27.7263,150.4935,0.3683,1438.7272,3.5218
164,300231,银信科技,15.71,12.9,28.7658,88.6928,0.2589,687.3768,2.0068
