,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600083,博信股份,70.59,8.76,7.1966,14.3832,0.0625,164.0371,0.7132
1,002234,民和股份,52.63,53.8,58.3539,1252.3255,4.1461,2327.6988,7.7064
2,002458,益生股份,51.03,61.55,64.5002,1468.5404,2.5493,2385.9298,4.1419
3,600768,宁波富邦,49.36,26.15,2.9585,113.1918,0.8463,432.7077,3.2352
4,000526,紫光学大,44.25,2.62,28.9958,63.9875,0.6651,2433.3378,25.2958
5,600132,重庆啤酒,43.93,19.63,41.7769,593.8766,1.227,3025.3141,6.251
6,002607,中公教育,37.82,15.56,57.6068,958.8631,0.1554,6159.1079,0.9986
7,002161,远望谷,37.66,177.9,43.9665,779.299,1.0534,438.0419,0.5921
8,300571,平治信息,36.26,16.69,35.452,230.8952,1.9168,1383.3917,11.4845
9,603489,八方股份,36.22,27.17,41.9613,239.1512,2.6572,879.9625,9.7773
10,600319,ST亚星,34.79,1.38,12.4991,19.5401,0.0619,1406.5622,4.4568
11,300122,智飞生物,34.27,22.99,41.9409,1762.9405,1.1018,7666.1708,4.7913
12,300417,南华仪器,34.03,36.87,64.5332,153.0076,1.875,414.9201,5.0848
13,600052,浙江广厦,33.55,1488.76,62.6845,1202.5425,1.3793,80.7744,0.0926
14,000672,上峰水泥,33.49,33.64,51.0718,1540.6004,1.8935,4579.0331,5.6279
15,600779,水井坊,33.11,24.11,82.5018,639.1971,1.3083,2650.5240000000003,5.4253
16,002841,视源股份,30.21,10.87,27.9056,1413.5299,2.1558,13001.2159,19.8291
17,603160,汇顶科技,29.93,36.6,61.3678,1712.3102,3.7551,4678.2208,10.2594
18,000933,神火股份,29.58,18.81,16.5953,2523.3618,1.3277,13414.5485,7.0584
19,002299,圣农发展,29.5,26.23,32.7046,2705.4333,2.1827,10311.1582,8.3189
20,600678,四川金顶,27.87,12.45,28.5383,28.9137,0.0828,232.0616,0.6649
21,002869,金溢科技,27.84,30.99,49.4054,387.8785,3.2184,1251.3781,10.3833
22,601918,新集能源,26.36,27.02,41.8204,1936.335,0.7474,7166.1616,2.7662
23,000895,双汇发展,25.95,9.39,19.4763,3943.1020000000003,1.1879,41968.47900000001,12.6438
24,000868,*ST安凯,25.62,5.24,15.6089,134.9891,0.184,2575.7131,3.5123
25,300800,力合科技,25.45,32.91,53.4081,176.5936,,536.5072,
26,603288,海天味业,25.45,25.87,44.5105,3835.1359,1.4202,14824.4491,5.4897
27,002755,奥赛康,25.27,16.57,92.7779,586.172,0.6315,3535.7088,3.8093
28,600732,ST新梅,25.03,11.89,21.5318,497.9736,0.2721,4185.9551,2.2875
29,002190,*ST集成,24.74,43.94,13.0012,598.1236,1.6673,1361.0543,3.7939999999999996
30,002016,世荣兆业,24.66,34.59,69.2699,749.2360000000001,0.9259999999999999,2165.4917,2.6764
31,002963,豪尔赛,24.65,21.72,39.3535,204.1173,1.81,939.4545,8.3307
32,688199,久日新材,24.55,21.88,39.969,231.4358,,1057.6478,
33,600801,华新水泥,24.4,21.55,41.2463,4843.8926,2.3103,22472.0061,10.7183
34,603360,百傲化学,24.37,38.92,59.3761,234.1709,1.2544,601.5893,3.2226
35,600519,贵州茅台,24.31,49.97,91.4894,30454.8554,24.2436,60934.6581,48.5072
36,603610,麒盛科技,24.12,13.96,38.5095,271.6837,2.4096,1944.8599,17.2493
37,002555,三七互娱,23.85,16.27,86.4344,1555.8363,0.7365,9559.8822,4.5259
38,300628,亿联网络,23.84,52.96,65.6907,982.8556,1.6406,1855.8298,3.0978
39,300198,纳川股份,23.81,63.83,21.6326,363.4455,0.3523,569.3613,0.5519
40,300702,天宇股份,23.53,28.07,54.378,444.333,2.4381,1582.8295,8.6854
41,600809,山西汾酒,23.38,18.58,69.189,1695.9051,1.9458,9126.5303,10.4718
42,603658,安图生物,23.17,28.4,66.6387,537.9075,1.2807,1893.6263,4.5086
43,600887,伊利股份,23.12,8.21,37.6877,5630.691999999999,0.9234,68517.1769,11.2376
44,600763,通策医疗,23.09,28.13,47.9297,399.6689,1.2464,1420.7251,4.4309
45,603444,吉比特,22.87,43.07,91.6535,669.9366,9.3199,1555.139,21.6345
46,002182,云海金属,22.7,13.14,16.4899,517.5845,0.8006,3937.3268,6.0909
47,300577,开润股份,22.54,8.97,27.6877,175.4163,0.8064,1953.7925,8.9822
48,600566,济川药业,22.5,24.23,84.4526,1305.5623,1.6019999999999999,5385.9929,6.6092
49,002677,浙江美大,22.48,26.66,52.4639,304.5035,0.4713,1142.1557,1.7679
50,000048,康达尔,22.47,17.38,32.8505,299.7449,0.767,1724.5101,4.4131
51,600802,福建水泥,22.14,13.05,26.9291,257.7451,0.6749,1974.9886,5.1718
52,002746,仙坛股份,21.99,25.99,27.7895,646.6038,1.3944,2487.2574,5.364
53,000651,格力电器,21.94,14.26,30.1627,22117.4964,3.6766,155038.75699999998,25.7722
54,300638,广和通,21.79,9.06,27.018,120.5204,0.9944,1329.3023,10.9688
55,000333,美的集团,21.69,9.64,29.0901,21315.967,3.0616,220918.16199999998,31.7309
56,600031,三一重工,21.63,15.6,32.5362,9159.443000000001,1.0882,58690.952000000005,6.9733
57,300003,乐普医疗,21.6,27.41,72.6418,1612.1883,0.9048,5879.6784,3.3001
58,601888,中国国旅,21.54,11.79,51.1594,4195.6063,2.1488,35584.3408,18.2252
59,688368,晶丰明源,21.52,11.27,23.1525,69.1974,1.4977,613.9719,13.2894
60,002901,大博医疗,21.51,39.37,85.6775,342.6033,0.8523,870.2107,2.165
61,603868,飞科电器,21.43,19.49,38.973,530.3611,1.2175,2720.2766,6.2448
62,002512,达华智能,21.34,19.72,15.2354,310.3727,0.2833,1573.399,1.4363
63,600486,扬农化工,21.31,15.14,28.7304,1069.5667,3.4513,7061.9184,22.7878
64,300418,昆仑万维,21.3,35.04,79.4328,945.4972,0.8207,2698.1418,2.3422
65,300529,健帆生物,21.17,43.02,85.9728,417.9131,0.9977,971.2724,2.3187
66,600346,恒力石化,21.11,8.93,17.9827,6817.1661,0.9684,76328.8045,10.8435
67,300782,卓胜微,21.1,32.76,52.8036,322.6652,3.2266,984.8781,9.8487
68,600570,恒生电子,21.09,34.98,97.6623,803.6916,1.0006,2297.1447,2.8601
69,688196,卓越新能,21.03,16.98,20.2076,173.5591,,1021.5833,
70,300117,嘉寓股份,20.97,15.3,16.262,362.4169,0.5056,2368.1825,3.304
71,603638,艾迪精密,20.96,24.13,42.4571,257.722,0.6685,1067.953,2.7702
72,300761,立华股份,20.88,20.48,25.7833,1270.9277,3.1467,6204.8295,15.363
73,300760,迈瑞医疗,20.85,29.65,65.2125,3671.1818,3.0198,12379.4593,10.183
74,600507,方大特钢,20.78,11.51,24.4979,1277.2643,0.8822,11093.9432,7.6627
