,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600423,*ST柳化,215.12,10.3,-1.3969999999999998,40.6863,0.1018,394.6887,0.9883
1,600306,商业城,71.97,71.48,17.303,171.9346,0.9651,240.50799999999998,1.3501
2,000717,韶钢松山,26.83,3.19,6.2247,168.1588,0.0695,5268.7636,2.1776
3,600133,东湖高新,26.81,55.22,11.6396,686.8356,1.0828,1243.7266,1.9609
4,002893,华通热力,25.83,21.81,32.2225,112.738,1.2526,516.6846,5.7409
5,600354,敦煌种业,23.4,302.21,25.0654,273.7035,0.5185,90.5655,0.1715
6,600225,天津松江,22.84,146.43,24.9719,423.3024,0.4524,289.0652,0.3089
7,600230,沧州大化,21.94,39.66,55.6318,424.8125,1.444,1070.923,3.6402
8,600338,西藏珠峰,20.28,53.09,70.414,305.8753,0.4684,576.0689,0.8821
9,000036,华联控股,18.32,42.51,71.4131,758.4114,0.6643,1783.7509,1.5625
10,300288,朗玛信息,18.3,85.96,26.9264,240.8041,0.7125,280.1342,0.8289
11,600291,西水股份,17.53,22.32,26.3018,2117.8868,1.9375,9488.7197,8.6808
12,000505,京粮控股,17.44,5.48,26.3391,13.7571,0.0322,250.7017,0.5874
13,000526,紫光学大,16.87,1.29,28.5887,9.1549,0.0951,708.2125,7.3622
14,600633,浙数文化,16.31,192.98,43.5107,1259.7513,0.9676,652.7781,0.5013
15,600167,联美控股,15.4,43.16,60.232,451.5746,0.6639,1046.1494,1.5381
16,002207,ST准油,15.38,300.95,-47.6736,62.6184,0.2618,20.8069,0.0869
17,600303,曙光股份,13.75,50.53,16.5198,446.8228,0.6613,884.1097,1.3086
18,600393,粤泰股份,13.13,28.34,44.0938,725.1229,0.5718,2558.627,2.0176
19,002027,分众传媒,12.2,45.72,67.5988,1106.7614,0.1266,2420.4147,0.27699999999999997
20,603165,荣晟环保,12.03,19.96,28.6107,95.29299999999999,0.7522,477.2464,3.7673
21,000822,山东海化,11.38,24.99,32.6209,275.6988,0.308,1103.2008,1.2324
22,600309,万华化学,11.26,19.94,39.2307,2195.0598,0.9634,11007.0486,4.8311
23,000011,深物业A,11.11,29.03,74.7318,301.5978,0.506,1038.6835,1.7428
24,600581,八一钢铁,11.02,9.6,17.3052,272.693,0.3557,2838.4506,3.7033
25,603387,基蛋生物,10.73,44.22,82.0964,40.8975,0.4131,92.4743,0.934
26,002714,牧原股份,10.72,34.55,40.4656,680.0364,0.6578,1967.8447,1.9036
27,600210,紫江企业,10.44,21.1,18.5337,452.3018,0.2982,2142.94,1.4128
28,603757,大元泵业,9.86,15.25,31.0202,31.0086,0.4937,203.2723,3.2368
29,603617,君禾股份,9.7,13.02,27.5754,23.9135,0.3188,183.6043,2.448
30,600507,方大特钢,9.7,10.33,21.9723,284.9063,0.2148,2756.2045,2.0784
31,600746,江苏索普,9.65,22.31,26.686,46.9853,0.1533,210.5621,0.6871
32,002869,金溢科技,9.62,23.11,44.3706,42.6138,0.4827,184.38099999999997,2.0885
33,603933,睿能科技,9.6,9.17,20.84,40.8893,0.531,445.8393,5.7901
34,300136,信维通信,9.58,28.43,29.6922,204.2566,0.2082,718.3366,0.7324
35,002304,洋河股份,9.52,36.14,61.2324,2742.9570000000003,1.8201,7588.5777,5.0355
36,300660,江苏雷利,9.52,12.58,24.7461,60.6751,0.8003,482.1803,6.3603
37,603260,合盛硅业,9.3,18.75,36.2185,271.296,0.4521,1446.3759,2.4106
38,600398,海澜之家,9.13,19.57,39.0612,1010.0032,0.2248,5158.9479,1.1482
39,000820,*ST节能,9.08,48.62,65.2993,73.1398,0.1147,150.4259,0.23600000000000002
40,603868,飞科电器,9.06,21.31,39.0814,200.4488,0.4601,940.5227,2.1591
41,000848,承德露露,9.06,24.89,47.6052,196.9693,0.2012,791.2299,0.8085
42,300658,延江股份,9.0,12.5,32.0871,22.1829,0.2957,177.3472,2.3646
43,603730,岱美股份,8.97,18.81,37.8894,137.8831,0.38299999999999995,733.0222,2.0361
44,600809,山西汾酒,8.94,21.44,71.4823,467.7106,0.5401,2180.8926,2.5187
45,002868,绿康生化,8.9,27.29,43.2471,26.5162,0.2946,97.1435,1.0793
46,603288,海天味业,8.88,24.35,44.6862,976.9545,0.3611,4011.0268,1.4828
47,600689,上海三毛,8.78,14.43,8.0362,40.7749,0.2028,282.5076,1.4055
48,300450,先导智能,8.76,34.61,44.937,90.70200000000001,0.2223,262.0162,0.6421
49,603113,金能科技,8.74,13.17,20.6095,210.3987,0.3514,1596.7173,2.6672
50,002555,三七互娱,8.73,26.75,66.885,433.0332,0.2077,1618.7379999999998,0.7764
51,000517,荣安地产,8.66,12.03,22.1021,348.8206,0.1095,2899.5569,0.9106
52,688368,晶丰明源,8.63,7.77,21.7999,11.9024,,153.0916,
