,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600247,ST成城,87.97,136.69,12.0412,27.2591,0.081,19.9417,0.0592
1,000720,新能泰山,34.33,139.69,18.0587,580.7119,0.4502,415.6941,0.3223
2,300272,开能健康,31.59,221.06,30.94,354.9058,0.8913,160.5411,0.4031
3,600319,ST亚星,25.92,2.24,10.8406,11.3322,0.0359,505.5381,1.6018
4,600671,天目药业,23.2,22.43,33.03,20.2764,0.1665,90.3719,0.742
5,000717,韶钢松山,22.39,14.05,16.2961,858.314,0.3547,6106.0401,2.5236
6,300618,寒锐钴业,20.98,34.56,53.1218,254.835,2.1236,737.3405,6.1445
7,300251,光线传媒,19.15,497.26,37.7633,1992.7818,0.6792,400.74699999999996,0.1366
8,600507,方大特钢,16.85,14.43,29.2191,557.4929,0.4204,3862.8590000000004,2.9129
9,300176,派生科技,16.7,20.66,71.0698,222.0831,2.0701,1074.5603,10.0164
10,600678,四川金顶,16.46,11.33,26.6535,5.6975,0.0163,50.2466,0.1439
11,600423,*ST柳化,16.44,1.54,17.4007,8.091000000000001,0.0202,523.1384,1.3099
12,600516,方大炭素,16.19,53.79,83.1403,1894.4676,1.0590000000000002,3521.9198,1.9688
13,002709,天赐材料,14.54,94.35,24.98,411.5068,1.2114,436.134,1.284
14,002016,世荣兆业,14.05,43.43,61.6057,405.5574,0.5012,933.6959,1.1539
15,002942,新农股份,13.93,14.64,34.152,38.4566,0.4272,262.6765,2.9186
16,600309,万华化学,13.27,26.06,43.0297,3545.7222,1.2968,13601.9135,4.975
17,000932,华菱钢铁,12.91,7.67,16.2349,1533.9446,0.5086,19982.9812,6.6264
18,601003,柳钢股份,12.68,9.21,12.5116,1046.0053,0.4081,11350.4057,4.4289
19,600802,福建水泥,12.67,17.19,29.5655,86.4782,0.2264,503.0255,1.3172
20,600230,沧州大化,12.64,34.0,60.1872,397.7034,1.3518,1169.4838,3.9752
21,002893,华通热力,12.61,15.45,23.6564,85.6705,0.7139,554.4704,4.6205
