,date,close
0,2019-11-11,8.86
1,2019-11-08,8.84
2,2019-11-07,8.77
3,2019-11-06,8.73
4,2019-11-05,8.69
5,2019-11-04,8.68
6,2019-11-01,8.79
7,2019-10-31,8.81
8,2019-10-30,9.1
9,2019-10-29,9.1
10,2019-10-28,9.11
11,2019-10-25,9.2
12,2019-10-24,9.19
13,2019-10-23,9.17
14,2019-10-22,9.03
15,2019-10-21,9.04
16,2019-10-18,9.13
17,2019-10-17,9.13
18,2019-10-16,9.15
19,2019-10-15,9.11
20,2019-10-14,9.12
21,2019-10-11,9.08
22,2019-10-10,9.04
23,2019-10-09,9.02
24,2019-10-08,9.13
25,2019-09-30,9.12
26,2019-09-27,9.15
27,2019-09-26,9.25
28,2019-09-25,9.25
29,2019-09-24,9.3
30,2019-09-23,9.36
31,2019-09-20,9.43
32,2019-09-19,9.43
33,2019-09-18,9.39
34,2019-09-17,9.4
35,2019-09-16,9.34
36,2019-09-12,9.37
37,2019-09-11,9.4
38,2019-09-10,9.47
39,2019-09-09,9.59
40,2019-09-06,10.25
41,2019-09-05,10.34
42,2019-09-04,10.9
43,2019-09-03,10.9
44,2019-09-02,10.81
45,2019-08-30,11.05
46,2019-08-29,11.09
47,2019-08-28,10.97
48,2019-08-27,10.89
49,2019-08-26,10.95
50,2019-08-23,11.0
51,2019-08-22,10.74
52,2019-08-21,10.59
53,2019-08-20,10.74
54,2019-08-19,10.67
55,2019-08-16,11.04
56,2019-08-15,11.15
57,2019-08-14,11.01
58,2019-08-13,11.17
59,2019-08-12,11.0
60,2019-08-09,11.05
61,2019-08-08,10.73
62,2019-08-07,10.62
63,2019-08-06,10.02
64,2019-08-05,10.22
65,2019-08-02,10.31
66,2019-08-01,10.34
67,2019-07-31,10.42
68,2019-07-30,10.44
69,2019-07-29,10.46
70,2019-07-26,10.65
71,2019-07-25,10.9
72,2019-07-24,10.93
73,2019-07-23,11.11
74,2019-07-22,11.35
75,2019-07-19,11.67
76,2019-07-18,11.43
77,2019-07-17,11.28
78,2019-07-16,11.21
79,2019-07-15,11.72
80,2019-07-12,11.64
81,2019-07-11,11.7
82,2019-07-10,11.44
83,2019-07-09,11.49
84,2019-07-08,11.38
85,2019-07-05,11.54
86,2019-07-04,11.43
87,2019-07-03,11.32
88,2019-07-02,11.29
89,2019-07-01,11.25
90,2019-06-28,11.13
91,2019-06-27,11.29
92,2019-06-26,11.46
93,2019-06-25,11.44
94,2019-06-24,11.29
95,2019-06-21,11.05
96,2019-06-20,10.93
97,2019-06-19,10.88
98,2019-06-18,11.11
99,2019-06-17,11.3
100,2019-06-14,11.47
101,2019-06-13,11.53
102,2019-06-12,11.55
103,2019-06-11,11.36
104,2019-06-10,11.59
105,2019-06-06,11.51
106,2019-06-05,11.69
107,2019-06-04,11.63
108,2019-06-03,11.48
109,2019-05-31,11.19
110,2019-05-30,11.39
111,2019-05-29,11.27
112,2019-05-28,11.18
113,2019-05-27,11.56
114,2019-05-24,11.56
115,2019-05-23,11.54
116,2019-05-22,11.4
117,2019-05-21,11.54
118,2019-05-20,11.39
119,2019-05-17,11.28
120,2019-05-16,11.92
121,2019-05-15,12.13
122,2019-05-14,12.33
123,2019-05-13,12.3
124,2019-05-10,12.9
125,2019-05-09,12.95
126,2019-05-08,12.9
127,2019-05-07,13.1
