,date,close
128,2019-05-06,13.18
129,2019-04-30,14.25
130,2019-04-29,14.45
131,2019-04-26,15.1
132,2019-04-25,14.35
133,2019-04-24,14.56
134,2019-04-23,13.93
135,2019-04-22,13.7
136,2019-04-19,13.82
137,2019-04-18,13.38
138,2019-04-17,13.0
139,2019-04-16,13.3
140,2019-04-15,13.3
141,2019-04-12,13.08
142,2019-04-11,12.83
143,2019-04-10,13.09
144,2019-04-09,13.5
145,2019-04-08,13.02
146,2019-04-04,13.13
147,2019-04-03,13.0
148,2019-04-02,12.72
149,2019-04-01,12.75
150,2019-03-29,13.28
151,2019-03-28,13.26
152,2019-03-27,13.54
153,2019-03-26,13.52
154,2019-03-25,13.25
155,2019-03-22,13.66
156,2019-03-21,13.29
157,2019-03-20,13.21
158,2019-03-19,13.3
159,2019-03-18,13.7
160,2019-03-15,13.33
161,2019-03-14,13.25
162,2019-03-13,13.3
163,2019-03-12,12.96
164,2019-03-11,13.08
165,2019-03-08,13.47
166,2019-03-07,13.4
167,2019-03-06,13.55
168,2019-03-05,14.2
169,2019-03-04,14.2
170,2019-03-01,14.23
171,2019-02-28,14.72
172,2019-02-27,14.8
173,2019-02-26,14.44
174,2019-02-25,14.65
175,2019-02-22,14.64
176,2019-02-21,14.2
177,2019-02-20,14.05
178,2019-02-19,13.74
179,2019-02-18,13.65
180,2019-02-15,14.05
181,2019-02-14,14.03
182,2019-02-13,14.05
183,2019-02-12,14.55
184,2019-02-11,14.0
185,2019-02-01,12.92
186,2019-01-31,12.54
187,2019-01-30,11.69
188,2019-01-29,11.72
189,2019-01-28,11.94
190,2019-01-25,12.0
191,2019-01-24,12.46
192,2019-01-23,12.61
193,2019-01-22,12.63
194,2019-01-21,12.28
195,2019-01-18,12.05
196,2019-01-17,12.04
197,2019-01-16,11.95
198,2019-01-15,11.86
199,2019-01-14,12.1
200,2019-01-11,12.05
201,2019-01-10,12.11
202,2019-01-09,12.09
203,2019-01-08,12.03
204,2019-01-07,12.02
205,2019-01-04,11.92
206,2019-01-03,11.71
207,2019-01-02,11.64
208,2018-12-28,11.83
209,2018-12-27,11.82
210,2018-12-26,11.9
211,2018-12-25,11.66
212,2018-12-24,11.34
213,2018-12-21,10.93
214,2018-12-20,10.94
215,2018-12-19,10.89
216,2018-12-18,11.05
217,2018-12-17,10.9
218,2018-12-14,10.71
219,2018-12-13,10.56
220,2018-12-12,10.87
221,2018-12-11,11.02
222,2018-12-10,11.42
223,2018-12-07,11.83
224,2018-12-06,11.52
225,2018-12-05,11.57
226,2018-12-04,11.1
227,2018-12-03,11.21
228,2018-11-30,11.5
229,2018-11-29,11.47
230,2018-11-28,11.35
231,2018-11-27,11.57
232,2018-11-26,11.86
233,2018-11-23,11.68
234,2018-11-22,11.42
235,2018-11-21,10.85
236,2018-11-20,10.88
237,2018-11-19,10.75
238,2018-11-16,10.68
239,2018-11-15,10.81
240,2018-11-14,11.01
241,2018-11-13,10.97
242,2018-11-12,11.01
243,2018-11-09,11.01
244,2018-11-08,11.18
245,2018-11-07,11.12
246,2018-11-06,10.9
247,2018-11-05,10.82
248,2018-11-02,10.96
249,2018-11-01,10.95
250,2018-10-31,10.86
251,2018-10-30,10.65
252,2018-10-29,10.61
253,2018-10-26,10.59
254,2018-10-25,10.59
255,2018-10-24,10.38
256,2018-10-23,10.08
257,2018-10-22,10.18
258,2018-10-19,10.19
259,2018-10-18,10.27
260,2018-10-17,10.26
261,2018-10-16,10.14
262,2018-10-15,10.37
263,2018-10-12,10.12
264,2018-10-11,10.04
265,2018-10-10,10.06
266,2018-10-09,9.95
267,2018-10-08,10.07
268,2018-09-28,10.17
269,2018-09-27,9.87
270,2018-09-26,9.91
271,2018-09-25,9.86
272,2018-09-21,9.85
273,2018-09-20,9.46
274,2018-09-19,9.36
275,2018-09-18,9.09
276,2018-09-17,8.92
277,2018-09-14,9.09
278,2018-09-13,8.61
279,2018-09-12,8.67
280,2018-09-11,8.61
281,2018-09-10,8.6
282,2018-09-07,8.66
283,2018-09-06,9.03
284,2018-09-05,8.98
285,2018-09-04,8.78
286,2018-09-03,8.88
287,2018-08-31,8.88
288,2018-08-30,8.73
289,2018-08-29,8.72
290,2018-08-28,8.7
291,2018-08-27,8.73
292,2018-08-24,9.11
293,2018-08-23,9.42
294,2018-08-22,9.4
295,2018-08-21,9.38
296,2018-08-20,9.25
297,2018-08-17,9.25
298,2018-08-16,9.39
299,2018-08-15,9.42
300,2018-08-14,9.15
301,2018-08-13,8.94
302,2018-08-10,8.91
303,2018-08-09,8.94
304,2018-08-08,9.17
305,2018-08-07,9.05
306,2018-08-06,9.29
307,2018-08-03,9.23
308,2018-08-02,9.05
309,2018-08-01,9.0
310,2018-07-31,8.79
311,2018-07-30,8.78
312,2018-07-27,8.81
313,2018-07-26,9.0
314,2018-07-25,9.23
315,2018-07-24,9.29
316,2018-07-23,9.36
317,2018-07-20,10.03
318,2018-07-19,10.43
319,2018-07-18,10.29
320,2018-07-17,10.27
321,2018-07-16,10.12
322,2018-07-13,10.13
323,2018-07-12,10.19
324,2018-07-11,10.43
325,2018-07-10,10.05
326,2018-07-09,9.97
327,2018-07-06,10.01
328,2018-07-05,9.88
329,2018-07-04,9.91
330,2018-07-03,9.88
331,2018-07-02,9.96
332,2018-06-29,9.84
333,2018-06-28,9.69
334,2018-06-27,10.08
335,2018-06-26,10.24
336,2018-06-25,10.23
337,2018-06-22,10.67
338,2018-06-21,10.55
339,2018-06-20,10.71
340,2018-06-19,10.74
341,2018-06-15,11.05
342,2018-06-14,10.45
343,2018-06-13,10.56
344,2018-06-12,10.45
345,2018-06-11,9.86
346,2018-06-08,10.3
347,2018-06-07,10.11
348,2018-06-06,10.37
349,2018-06-05,10.33
350,2018-06-04,10.09
351,2018-06-01,10.76
352,2018-05-31,11.15
353,2018-05-30,10.84
354,2018-05-29,11.04
355,2018-05-28,11.29
356,2018-05-25,11.18
357,2018-05-24,10.75
358,2018-05-23,10.9
359,2018-05-22,10.91
360,2018-05-21,10.83
361,2018-05-18,11.09
362,2018-05-17,10.92
363,2018-05-16,10.84
364,2018-05-15,10.81
365,2018-05-14,10.89
366,2018-05-11,10.55
367,2018-05-10,10.56
368,2018-05-09,10.54
369,2018-05-08,10.44
370,2018-05-07,10.62
371,2018-05-04,10.57
372,2018-05-03,10.85
373,2018-05-02,10.57
374,2018-04-27,10.61
375,2018-04-26,10.55
376,2018-04-25,10.32
377,2018-04-24,10.34
378,2018-04-23,10.18
379,2018-04-20,10.28
380,2018-04-19,10.2
381,2018-04-18,10.36
382,2018-04-17,10.59
383,2018-04-16,10.59
384,2018-04-13,10.45
385,2018-04-12,10.25
386,2018-04-11,10.28
387,2018-04-10,10.17
388,2018-04-09,10.23
389,2018-04-04,10.24
390,2018-04-03,10.39
391,2018-04-02,10.17
392,2018-03-30,10.29
393,2018-03-29,10.12
394,2018-03-28,9.94
395,2018-03-27,9.71
396,2018-03-26,9.45
397,2018-03-23,9.42
398,2018-03-22,9.34
399,2018-03-21,9.3
400,2018-03-20,9.28
401,2018-03-19,9.38
