,date,close,Predictions2
550,2017-08-07,15.12,10.3975
551,2017-08-04,14.89,10.396625
552,2017-08-03,14.97,10.393902083333334
553,2017-08-02,14.94,10.392967118055557
554,2017-08-01,14.9,10.401849903356483
555,2017-07-31,14.92,10.403547401745755
556,2017-07-28,14.99,10.408439858441517
557,2017-07-27,14.45,10.409080522748875
558,2017-07-26,14.31,10.410398531461357
559,2017-07-25,14.65,10.415738506985711
560,2017-07-24,14.25,10.410000815435474
561,2017-07-21,14.31,10.397667495692732
562,2017-07-20,14.27,10.39029528728761
563,2017-07-19,14.13,10.37946687540907
564,2017-07-18,14.16,10.364291323332557
565,2017-07-17,14.45,10.350696178721432
566,2017-07-14,14.3,10.344041115033457
567,2017-07-13,14.44,10.334775133617347
568,2017-07-12,14.58,10.325188052510972
569,2017-07-11,14.81,10.316774520052821
570,2017-07-10,14.69,10.303887428720367
571,2017-07-07,14.55,10.293618885865707
572,2017-07-06,14.56,10.284512533963467
573,2017-07-05,14.68,10.275754409529524
574,2017-07-04,14.45,10.265516983021685
575,2017-07-03,14.24,10.26077559940538
576,2017-06-30,14.41,10.255788526062137
577,2017-06-29,14.84,10.251051668163171
578,2017-06-28,15.34,10.247902529299227
579,2017-06-27,15.38,10.241700904787544
580,2017-06-26,15.18,10.236229253200671
581,2017-06-23,15.75,10.225999740754016
582,2017-06-22,15.71,10.220266403099913
583,2017-06-21,15.9,10.21377084315158
584,2017-06-20,15.59,10.208167023870773
585,2017-06-19,16.2,10.206303140935287
586,2017-06-16,16.25,10.204074859950875
587,2017-06-15,16.24,10.204476107616722
588,2017-06-14,16.81,10.203217376077001
589,2017-06-13,17.22,10.203270999011616
590,2017-06-12,17.18,10.200658848995145
591,2017-06-09,16.79,10.19416982981173
592,2017-06-08,16.7,10.187572660308593
593,2017-06-07,16.51,10.183198871313737
594,2017-06-06,16.89,10.182085519168966
595,2017-06-05,16.42,10.180453611155114
596,2017-06-02,16.45,10.1806278380077
597,2017-06-01,16.87,10.179804968641161
598,2017-05-31,16.88,10.178801718118514
599,2017-05-30,16.66,10.175281746753823
600,2017-05-26,16.91,10.175369775866388
601,2017-05-25,16.43,10.17345927213083
602,2017-05-24,16.26,10.174350259999676
603,2017-05-23,16.86,10.178256097666337
604,2017-05-22,16.92,10.186060365960774
605,2017-05-19,17.15,10.198328038726789
606,2017-05-18,16.96,10.211300172705565
607,2017-05-17,16.89,10.22582184225066
608,2017-05-16,16.65,10.24125220628817
609,2017-05-15,16.28,10.257273076392973
