[181, 210, 85, 7, 174, 257, 261, 288, 248, 224]
[88, 136, 212, 124, 38, 204, 232, 21, 11, 247]
[291, 298, 175, 204, 247, 242, 262, 246, 270, 278]
[291, 204, 175, 247, 246, 298, 223, 49, 242, 265]
[175, 204, 247, 265, 49, 176, 270, 291, 298, 252]
[247, 265, 270, 175, 49, 298, 291, 62, 243, 204]
[247, 175, 128, 291, 176, 265, 270, 101, 258, 298]
[247, 175, 258, 291, 14, 176, 105, 128, 101, 221]
[247, 258, 175, 182, 176, 291, 207, 14, 243, 101]
[247, 258, 175, 176, 182, 63, 243, 228, 66, 14]
[247, 182, 175, 258, 176, 246, 229, 279, 262, 228]
[182, 175, 176, 247, 229, 262, 246, 49, 92, 291]
[182, 246, 229, 49, 176, 175, 262, 277, 258, 92]
[246, 182, 175, 176, 262, 92, 113, 229, 74, 291]
[182, 246, 175, 176, 92, 291, 229, 113, 277, 68]
[182, 246, 175, 176, 92, 113, 298, 208, 245, 262]
[182, 92, 277, 208, 176, 246, 175, 180, 229, 105]
[182, 277, 298, 218, 176, 180, 246, 175, 208, 245]
[182, 277, 246, 175, 218, 176, 285, 60, 68, 279]
[182, 277, 176, 175, 152, 279, 285, 108, 218, 133]
