,code,3月3日,3月10日,3月17日,3月24日,3月31日,4月7日,4月14日,4月21日,4月28日,5月5日,5月12日,5月19日,5月26日,6月2日,6月9日,6月16日,6月23日,6月30日,7月7日,7月14日,7月21日,7月28日,8月4日,8月11日,8月18日,8月25日,9月1日,9月8日,9月15日,9月22日,3月4日,3月11日,3月18日,3月25日,4月1日,4月8日,4月15日,4月22日,4月29日,5月6日,5月13日,5月20日,5月27日,6月3日,6月10日,6月17日,6月24日,7月1日,7月8日,7月15日,7月22日,7月29日,8月5日,8月12日,8月19日,8月26日,9月2日,9月9日,9月16日,9月23日
21,601066,22.13,28.04,26.91,24.5,25.55,25.81,24.56,24.14,27.75,23.36,21.84,21.11,22.5,23,22.73,20.3,24.53,21.08,20.95,19.73,20.11,19.43,17.89,16.92,16.92,18.64,19.22,23.75,25.96,24.95,21.73772957,30.17593199,26.75043894,24.48657631,26.26406987,25.74841267,24.91127183,24.35233882,28.12536216,23.28581437,22.22142845,20.99187747,22.62451495,23.0111636,22.71277788,20.22671746,24.98840339,20.94181807,20.920641,19.66108041,20.13636559,19.52169353,17.55295807,16.79138186,16.79538632,18.69488335,19.11112201,24.21513893,26.17522585,25.1380906
22,601088,20.83,20.02,19.98,21.13,19.61,20.48,19.92,20.49,19.37,19.69,18.61,18.47,18.35,18.39,18.86,19.7,20.03,20.38,20.61,19.03,19.23,19.13,18.63,18.06,18.54,18.78,18.69,19.64,19.61,19.6,20.82289039,20.02807448,19.96137461,21.1466762,19.5908596,20.47137345,19.9201682,20.48614633,19.36498874,19.68817226,18.58770519,18.46809061,18.32656621,18.3746431,18.85357507,19.68892012,20.05237691,20.39254532,20.60296897,19.00919824,19.16973949,19.1446994,18.62530875,18.01869475,18.51876208,18.76638857,18.68763375,19.61907193,19.58968966,19.62363288
23,601111,9.87,9.15,9.71,9.86,10.84,11.89,10.7,11,9.84,10.15,9.12,8.5,8.36,8.46,8.7,8.73,9.5,9.57,9.67,9.16,9.05,9.05,8.5,7.74,7.89,8.11,7.89,8.39,8.69,8.47,9.874130798,9.14901381,9.712598077,9.86416817,10.85037553,11.90974967,10.71421666,11.01060593,9.84586062,10.15837037,9.115536508,8.494287867,8.348264171,8.454014151,8.697619492,8.721866717,9.503557791,9.569261712,9.674326429,9.156623214,9.048099374,9.046100594,8.494783447,7.727374126,7.879626351,8.100131255,7.881985807,8.381294456,8.683443531,8.467039013
24,601138,15.08,15.82,14.86,15.09,14.75,15.84,15.71,17.89,16.01,15.42,14.22,13.2,12.9,13.68,12.83,11.81,12.32,12.05,13.15,12.77,12.46,13.25,12.89,12.29,14.36,14.95,14.21,15.31,15.31,14.49,15.17150781,15.74664968,14.87828194,15.18555178,14.8899529,15.72766937,15.68709123,17.78754471,16.02883873,15.41945329,14.35167188,13.036374,12.91102384,13.65111635,12.7190662,11.84267577,12.2558172,12.09281844,13.03693441,12.86965402,12.35813842,13.34206679,12.72294753,12.3624903,14.32072275,15.01004164,14.23585326,15.37630198,15.38793029,14.50263038
25,601166,19.3,17.9,18.44,18.1,18.17,19.28,18.98,20.3,18.95,19.92,18.48,18.29,18.24,17.57,17.86,18.35,18.55,18.29,18.27,18.18,18.41,19.22,18.79,18.6,17.93,18.4,17.17,17.97,17.89,17.57,19.31051281,17.92085861,18.44177853,18.12253453,18.17240793,19.2924234,19.00598126,20.3248886,18.97410016,19.95206012,18.48553239,18.30784516,18.24246582,17.58245398,17.87460037,18.35200153,18.571685,18.28851773,18.28855348,18.17807171,18.42765825,19.22779125,18.80921116,18.60306603,17.94019933,18.4015775,17.17659588,17.96561607,17.88520876,17.57915072
26,601186,11.55,11.06,11.22,11.7,11.51,12.18,11.76,11.99,10.8,10.84,10.12,9.89,9.38,9.4,9.38,9.77,10.06,9.95,10.07,9.69,10,10.02,9.52,9.1,8.98,9.11,9.1,9.97,10.17,9.93,11.56816573,11.05880807,11.19970417,11.70265727,11.52632985,12.20364642,11.76187069,12.01239862,10.79152113,10.83211345,10.12846869,9.873439318,9.3819948,9.380043854,9.360982914,9.775924485,10.04562978,9.957442533,10.0562458,9.69582326,9.985141118,10.02935769,9.502773078,9.101472748,8.958790888,9.112135284,9.081730999,9.985496398,10.1823611,9.935428494
27,601211,19.96,20.01,19.25,19.87,20.15,21.12,20.29,20.21,19.32,18.83,17.47,16.3,16.29,16.07,15.9,16.18,17.73,18.35,18.03,18.07,18.08,18.07,17.29,16.6,16.51,17.37,17.09,18.83,19.29,18.36,19.99514214,19.84458905,19.51012683,19.87363249,20.03181053,21.04209921,20.29898526,20.31485127,19.37467267,18.83275827,17.51854391,16.29769666,16.28826959,16.050361,15.87869306,16.18089353,17.70174225,18.34241852,18.00841522,18.08264426,18.11444537,18.07283521,17.29657198,16.62620281,16.4944935,17.34591666,17.06066599,18.84488095,19.30894589,18.36272554
28,601229,12.47,12.05,12.08,12.02,11.98,12.43,12.51,12.79,12.24,12.67,11.79,11.35,11.41,11.26,11.47,11.63,11.89,11.85,8.97,8.86,8.92,9.22,9.14,9.04,9.08,8.97,9.02,9.19,9.33,9.29,12.51209656,12.04059442,12.11042981,12.01380971,12.00850079,12.46590942,12.50323121,12.83789674,12.22992681,12.66258225,11.82826403,11.33461037,11.43900557,11.24831778,11.46137661,11.65969886,11.88743627,11.87953908,8.963146876,8.839285833,8.914031702,9.206548101,9.136324539,9.029886333,9.073950637,8.961162871,9.014940451,9.185122894,9.316261671,9.293001459
29,601288,3.85,3.69,3.71,3.72,3.73,3.79,3.74,3.85,3.72,3.76,3.65,3.61,3.69,3.68,3.77,3.76,3.64,3.6,3.65,3.6,3.57,3.59,3.55,3.46,3.42,3.41,3.4,3.49,3.53,3.49,3.849420925,3.687534706,3.708282692,3.717748252,3.728454661,3.789228515,3.737982161,3.849648004,3.717638891,3.757986538,3.648045878,3.607197729,3.689245659,3.677736697,3.768762001,3.758589025,3.63792741,3.59694859,3.64791959,3.597043852,3.56742591,3.587248651,3.547351552,3.456255576,3.416121442,3.406179986,3.396139398,3.486639405,3.527022477,3.486851609
30,601318,72.39,68.7,73.85,74.72,77.1,80.2,80.44,87,83.11,86.1,81.38,79.1,76.5,79,77.11,79.75,87.97,88.61,90.85,88.75,88.35,90.1,86.03,84.35,87.46,89.89,87.32,90.7,92.34,89.85,72.84122142,68.41031953,74.10461455,74.64161715,77.42053177,80.39371842,80.51246962,87.17116257,83.04536568,85.90913044,81.76333363,78.84451515,76.7839245,78.98510321,77.02898879,79.6986745,87.87524265,88.82297587,91.17737645,88.74445292,88.64949523,90.14493083,85.91161911,84.32349428,87.73642968,90.0241013,87.25907887,90.96386054,92.68117365,89.88303421
