,code,3月3日,3月10日,3月17日,3月24日,3月31日,4月7日,4月14日,4月21日,4月28日,5月5日,5月12日,5月19日,5月26日,6月2日,6月9日,6月16日,6月23日,6月30日,7月7日,7月14日,7月21日,7月28日,8月4日,8月11日,8月18日,8月25日,9月1日,9月8日,9月15日,9月22日,3月4日,3月11日,3月18日,3月25日,4月1日,4月8日,4月15日,4月22日,4月29日,5月6日,5月13日,5月20日,5月27日,6月3日,6月10日,6月17日,6月24日,7月1日,7月8日,7月15日,7月22日,7月29日,8月5日,8月12日,8月19日,8月26日,9月2日,9月9日,9月16日,9月23日
0,600000,12.02,11.5,11.43,11.39,11.28,11.71,11.49,12.01,11.32,11.97,11.32,11.24,11.11,11.13,11.47,11.79,12.09,11.68,11.57,11.52,11.58,11.87,11.48,11.37,11.22,11.59,11.28,11.69,12,11.95,10.78058354,11.00937942,11.11128487,11.17230039,11.19506491,11.27150974,11.3625245,11.49440935,11.57613881,11.62708442,11.73931867,11.74282041,11.74637063,11.73150201,11.35077469,10.93412374,11.09362989,11.17182799,11.25931089,11.58798091,11.84366592,11.97981971,11.95778585,11.66243818,11.47027721,11.56549247,11.61417845,11.66850657,11.61061173,11.78073729
1,600016,6.69,6.4,6.45,6.42,6.34,6.56,6.51,6.63,6.28,6.4,6.19,6.08,6.1,6.11,6.2,6.29,6.39,6.35,6.09,6.03,6,6.04,5.96,5.78,5.77,5.83,5.81,6.08,6.17,6.09,5.81088523,5.92426261,5.958553673,6.01827434,6.03554132,6.26206774,6.165148882,6.227777413,6.263224583,6.467480425,6.276963592,6.255468398,6.235434506,6.214059204,6.079309759,6.45923732,6.411281931,6.263148451,6.057942933,5.836928871,5.97459207,6.094284652,6.138025146,5.944383599,5.852193695,5.843955465,5.933721434,6.046047047,6.001761622,5.989823861
2,600019,7.61,7.38,7.32,7.41,7.23,7.76,7.57,7.74,7.19,7.17,6.87,6.76,6.66,6.3,6.3,6.38,6.54,6.5,6.59,6.33,6.27,6.29,6.18,5.89,5.84,5.92,5.81,6.06,6.25,6.17,6.488693358,6.651971475,6.742856374,6.815473788,6.881337465,7.203002493,7.132311689,7.239849147,7.276264954,7.484834411,7.210445472,7.146702223,7.067931916,6.971287342,6.758921909,6.314676889,6.1719381,6.062021511,6.05624721,6.10705782,6.265386402,6.451662664,6.548111726,6.408707006,6.231492442,6.027916416,5.85618241,5.671771973,5.63256899,5.35700858
3,600028,6.08,5.85,5.94,5.98,5.74,5.93,5.82,5.87,5.66,5.68,5.43,5.41,5.39,5.43,5.48,5.21,5.41,5.47,5.42,5.24,5.29,5.28,5.13,4.98,4.97,5.01,4.98,5.15,5.21,5.07,5.44118998,5.506615342,5.54281684,5.594443549,5.614365108,5.629758936,5.741569491,5.784190986,5.815333401,5.76079843,5.764277248,5.726417623,5.689745262,5.681637576,5.214525993,5.013037773,5.017941401,5.114726222,5.214768273,5.239071274,5.252275381,5.27102381,5.240309145,5.136513047,5.100337412,5.09845635,5.106368755,5.130901777,5.17933729,5.091635997
4,600029,8.39,7.81,8.18,8.23,8.55,9.65,8.7,8.88,8.04,8.48,7.62,7.14,7.15,7.19,7.06,7.09,7.58,7.72,7.77,7.44,7.6,7.34,6.97,6.49,6.68,6.76,6.57,6.95,6.99,6.83,7.667138884,7.830326693,7.956837707,8.08818816,8.17026408,8.29289824,8.496132363,8.640574454,8.660559042,8.691390236,8.67918872,8.596446179,8.495151959,8.40981485,7.791243392,7.805308376,7.345553241,7.05023315,6.872207194,6.729803636,6.749109306,6.739993134,6.6671018,6.53301177,6.628408275,6.861061075,6.98870289,7.015302518,6.998855901,6.931289568
5,600030,24.46,24.08,23.81,24.8,24.78,26,24.27,24.5,23.59,23.04,20.64,19.64,20.07,20.13,20.07,20.66,23.67,23.81,23.54,23.37,23.18,23.39,21.71,20.79,21.33,22.64,22.32,24.15,24.71,23.34,19.73292471,20.9842819,21.86018182,22.57744244,23.04355159,23.87761924,24.37129575,24.72563724,25.10312846,25.41508257,24.8242019,24.32620518,23.92773503,23.64579782,20.83692809,19.95923769,20.24273559,20.9314651,21.60504462,21.93221673,22.24229139,22.37983398,22.33275018,21.58587042,21.32295101,21.89386137,22.19350122,22.62209667,23.5599241,22.90865183
6,600031,10.72,11.08,12.38,12.87,12.78,13.36,12.98,13.13,11.92,12.25,12.45,11.7,12.03,12.07,11.95,12.79,13.13,13.08,12.87,13.13,13.61,14.65,13.93,13.48,13.26,14.11,13.47,14.75,14.75,14.82,8.906222279,9.392680116,9.910415973,10.56844054,11.0010953,11.95679783,12.09228201,12.45196344,12.63991207,13.28461611,12.84603932,12.904384,12.86640152,12.95867941,12.07811668,12.6002985,13.04337746,13.1240177,12.99982113,12.8527219,13.22292195,13.76042909,14.05801286,13.88006388,13.52206835,13.3946616,13.37384495,13.40707577,13.78080927,13.4953394
7,600036,32.9,30.78,31.67,32.35,33.92,35.59,34.8,36,34.36,34.45,33.61,33.31,33.6,34.21,33.9,35.35,37.69,35.98,36.47,35.4,36.37,37.22,35.75,34.99,35.16,36.27,34.28,35.89,35.29,34.51,28.30533332,28.67829143,29.00360338,29.5465163,30.19115673,31.41642074,31.98164432,32.90851837,33.63855331,34.26852671,34.38914556,34.72920258,34.93006148,35.19728892,34.58866718,33.47814588,34.40191113,34.80529848,35.11877866,35.48035437,36.0948583,36.95817876,37.20805682,36.63022466,36.34433097,36.5959404,36.63701342,36.43290704,34.99309224,35.41475797
8,600048,13.35,13.04,13.78,13.94,14.24,14.55,13.9,14.2,13.24,13.49,12.97,12.62,12.57,12.16,12.54,12.88,13.01,12.76,13.54,13.55,14.38,14.48,13.82,13.51,13.85,14.47,13.45,13.77,14.64,14.58,12.77663478,12.89936317,13.0101681,13.19165277,13.28371879,13.57637819,13.65503809,13.69422902,13.767354,13.88277599,13.69408609,13.63769855,13.64815484,13.57359457,12.64299301,12.32188542,12.37477922,12.14486848,12.11921452,12.39727013,12.82240608,13.13768042,13.28554517,12.95676679,12.97780671,13.40362493,13.81358342,14.06653011,14.7832287,14.39144659
9,600050,6.55,6.47,6.91,7,6.79,6.91,6.62,7.15,6.71,6.67,6.07,5.85,5.72,5.93,6.08,6.07,6.27,6.16,6.2,5.96,5.93,5.96,5.71,5.29,5.63,6.05,5.85,6.19,6.43,6.19,5.693915273,5.939779878,6.233336523,6.464130639,6.623982062,6.682084481,6.91657883,7.066951779,7.144949507,7.12078513,7.118846492,7.002991385,6.877011967,6.778661178,6.648156838,6.733489325,6.71018425,6.642810003,6.569122759,6.42325287,6.225638466,6.12538727,6.047716176,5.887079801,5.769684422,6.360672599,6.277323479,6.081554487,5.868354954,6.026168243
