,code,03-03,03-10,03-17,03-24,03-31,04-07,04-14,04-21,04-28,05-05,05-12,05-19,05-26,06-02,06-09,06-16,06-23,06-30,07-07,07-14,07-21,07-28,08-04,08-11,08-17,08-25,09-01,09-08,09-15,09-22
20,600887,27.81,26.35,26.59,27.92,29.11,29.78,30.0,31.14,30.0,31.0,30.26,30.41,29.9,30.01,30.0,31.78,32.32,33.41,33.47,33.83,32.25,32.34,31.14,27.4,28.7,28.6,28.65,29.13,29.75,28.89
21,601066,22.13,28.04,26.91,24.5,25.55,25.81,24.56,24.14,27.75,23.36,21.84,21.11,22.5,23.0,22.73,20.3,24.53,21.08,20.95,19.73,20.11,19.43,17.89,16.92,16.92,18.64,19.22,23.75,25.96,24.95
22,601088,20.83,20.02,19.98,21.13,19.61,20.48,19.92,20.49,19.37,19.69,18.61,18.47,18.35,18.39,18.86,19.7,20.03,20.38,20.61,19.03,19.23,19.13,18.63,18.06,18.54,18.78,18.69,19.64,19.61,19.6
23,601111,9.87,9.15,9.71,9.86,10.84,11.89,10.7,11.0,9.84,10.15,9.12,8.5,8.36,8.46,8.7,8.73,9.5,9.57,9.67,9.16,9.05,9.05,8.5,7.74,7.89,8.11,7.89,8.39,8.69,8.47
24,601138,15.08,15.82,14.86,15.09,14.75,15.84,15.71,17.89,16.01,15.42,14.22,13.2,12.9,13.68,12.83,11.81,12.32,12.05,13.15,12.77,12.46,13.25,12.89,12.29,14.36,14.95,14.21,15.31,15.31,14.49
25,601166,19.3,17.9,18.44,18.1,18.17,19.28,18.98,20.3,18.95,19.92,18.48,18.29,18.24,17.57,17.86,18.35,18.55,18.29,18.27,18.18,18.41,19.22,18.79,18.6,17.93,18.4,17.17,17.97,17.89,17.57
26,601186,11.55,11.06,11.22,11.7,11.51,12.18,11.76,11.99,10.8,10.84,10.12,9.89,9.38,9.4,9.38,9.77,10.06,9.95,10.07,9.69,10.0,10.02,9.52,9.1,8.98,9.11,9.1,9.97,10.17,9.93
27,601211,19.96,20.01,19.25,19.87,20.15,21.12,20.29,20.21,19.32,18.83,17.47,16.3,16.29,16.07,15.9,16.18,17.73,18.35,18.03,18.07,18.08,18.07,17.29,16.6,16.51,17.37,17.09,18.83,19.29,18.36
28,601229,12.47,12.05,12.08,12.02,11.98,12.43,12.51,12.79,12.24,12.67,11.79,11.35,11.41,11.26,11.47,11.63,11.89,11.85,8.97,8.86,8.92,9.22,9.14,9.04,9.08,8.97,9.02,9.19,9.33,9.29
29,601288,3.85,3.69,3.71,3.72,3.73,3.79,3.74,3.85,3.72,3.76,3.65,3.61,3.69,3.68,3.77,3.76,3.64,3.6,3.65,3.6,3.57,3.59,3.55,3.46,3.42,3.41,3.4,3.49,3.53,3.49
