,code,03-03,03-10,03-17,03-24,03-31,04-07,04-14,04-21,04-28,05-05,05-12,05-19,05-26,06-02,06-09,06-16,06-23,06-30,07-07,07-14,07-21,07-28,08-04,08-11,08-17,08-25,09-01,09-08,09-15,09-22
10,600104,28.68,26.49,25.78,26.24,26.07,28.61,28.3,29.63,26.58,27.38,26.33,25.48,23.47,23.95,24.56,24.3,25.26,25.5,26.97,23.9,23.71,24.35,24.18,24.38,24.54,24.6,25.08,25.94,25.14,24.66
11,600196,28.71,27.58,29.42,29.76,29.78,29.61,30.1,29.72,28.33,29.1,26.5,25.87,25.1,24.74,22.45,23.28,25.22,25.3,26.81,27.13,26.15,27.06,24.9,24.91,25.91,27.5,27.65,28.7,27.45,28.0
12,600276,72.0,69.66,71.52,73.13,65.42,66.14,64.62,64.45,62.33,65.75,64.12,62.76,60.07,62.16,57.98,61.28,65.9,66.0,67.4,66.45,66.02,66.82,66.04,66.88,69.12,76.6,80.05,80.11,78.6,81.5
13,600309,42.08,37.49,41.03,41.56,45.53,47.43,46.36,47.32,43.99,45.23,42.1,39.82,40.14,38.04,37.81,38.84,41.98,42.79,43.48,42.1,40.52,43.41,43.5,42.94,42.6,42.91,44.71,46.7,46.89,45.17
14,600340,31.04,28.74,30.72,31.27,31.02,31.78,32.52,33.69,30.58,31.42,29.74,30.71,28.8,29.63,29.3,29.98,30.81,32.57,32.72,30.4,30.88,31.0,28.23,26.44,26.05,27.4,26.68,27.42,28.16,27.8
15,600519,789.3,737.5,777.3,794.0,853.99,865.0,914.0,952.56,945.0,974.0,907.12,906.79,878.5,890.0,862.13,913.0,976.3,984.0,999.82,986.09,955.87,965.03,954.45,962.03,1054.6,1130.1,1142.0,1142.49,1099.0,1157.42
16,600585,36.68,35.15,36.72,37.35,38.18,41.95,41.7,42.58,39.49,39.95,38.99,38.95,39.15,39.55,38.28,40.79,40.16,41.5,43.3,41.23,40.51,41.26,38.57,38.36,38.84,40.12,39.43,43.16,42.42,41.93
17,600690,17.17,15.72,16.86,16.67,17.11,18.24,17.22,18.36,16.75,17.18,16.43,15.78,16.12,15.9,15.56,16.33,16.98,17.29,17.78,17.31,16.81,16.83,16.18,15.19,14.92,15.24,15.91,16.02,15.94,15.83
18,600703,14.03,15.51,14.85,15.33,14.67,15.04,14.01,13.15,14.16,13.06,12.16,9.97,9.66,10.72,10.28,10.67,11.51,11.28,11.82,11.08,10.29,11.47,11.39,10.38,11.59,11.02,10.82,11.8,13.54,15.34
19,600837,13.02,14.31,13.76,13.97,14.03,15.82,14.61,14.52,14.3,13.98,12.77,12.09,12.02,12.1,12.58,12.74,14.22,14.19,13.86,13.88,14.09,13.81,13.29,12.58,12.79,13.68,13.66,15.11,16.54,15.18
